Date,year_month,usd_ngn_rate,oil_price,external_reserves,mpr,fx_return,oil_return,reserves_change,mpr_change,volatility,spike
2006-04-01,2006-04,128.58,70.44210526316,37878856729.81571,13.0,-0.07771215418090893,13.154476194822173,1.0491310927769337,0.0,0.2344141242237187,0
2006-05-01,2006-05,128.57,70.18727272727,37193020576.27,13.0,-0.007777259293839656,-0.36176166929990927,-1.8106041542850226,0.0,0.26778480906823093,0
2006-06-01,2006-06,128.5,68.85772727273,38339483037.36572,14.0,-0.054445049389428846,-1.894282827751792,3.0824666653377353,1.0,0.035613972727589156,0
2006-07-01,2006-07,128.43,73.89714285714,37861152401.59429,14.0,-0.05447470817120381,7.318591222812221,-1.2476188980045655,0.0,0.02695222700663469,0
2006-08-01,2006-08,128.43,73.61217391304,37665848654.10833,14.0,0.0,-0.38562917737010594,-0.5158420573530664,0.0,0.031442429170888825,0
2006-09-01,2006-09,128.39,62.7719047619,37268206915.634,14.0,-0.031145371019247747,-14.726190757449842,-1.055708958335011,0.0,0.027330648053707367,0
2006-10-01,2006-10,128.42,58.38,37418433070.192,14.0,0.023366305787053676,-6.996609038006607,0.4030946669853819,0.0,0.02734819095264802,0
2006-11-01,2006-11,128.42,58.48318181818,38064914809.192856,14.0,0.0,0.17674172350119477,1.7277092757682855,0.0,0.02734819095264802,0
2006-12-01,2006-12,128.39,62.31473684211,37427368292.704285,10.0,-0.02336084722005527,6.551550214627566,-1.6748927974340355,-4.0,0.02336357655669136,0
2007-01-01,2007-01,128.37,54.29909090909,44472682240.518,10.0,-0.015577537191358015,-12.863162614855694,18.8239629693308,0.0,0.011895158418374617,0
2007-02-01,2007-02,128.33,57.757,44574514500.18144,10.0,-0.031159928332158415,6.36826332267586,0.22897710354574663,0.0,0.007791196900568094,0
2007-03-01,2007-03,128.25,62.14363636364,44964748377.57429,10.0,-0.062339281539791624,7.594986518759628,0.8754641116534456,0.0,0.023810444888112885,0
2007-04-01,2007-04,128.25,67.39842105263,44572875832.74375,10.0,0.0,8.455869331883115,-0.8715105921197064,0.0,0.031169641274293003,0
2007-05-01,2007-05,127.62,67.47608695652,44924304145.238,10.0,-0.49122807017543124,0.1152340109412453,0.7884353565449809,0.0,0.267437468070738,0
2007-06-01,2007-06,127.5,71.31619047619,44715457715.432495,8.0,-0.09402914903620108,5.691058407320604,-0.4648851746936633,-2.0,0.2607404458942899,0
2007-07-01,2007-07,127.2,77.20409090909,45069688658.25875,8.0,-0.23529411764705577,8.256050124923252,0.792189012311062,0.0,0.2013392503411389,0
2007-08-01,2007-08,126.57,70.79652173913,44522741923.79375,8.0,-0.49528301886793136,-8.299520264418492,-1.2135578273287706,0.0,0.2035332438733302,0
2007-09-01,2007-09,125.74,77.127,44505840995.85875,8.0,-0.6557636090700814,8.941792768006952,-0.03796021360032986,0.0,0.21218814049769066,0
2007-10-01,2007-10,123.56,82.85782608696,45111091778.0475,9.0,-1.7337362812152035,7.430375986308313,1.3599356143951358,1.0,0.6734915966738717,0
2007-11-01,2007-11,119.45,92.52818181818,44354318347.29714,9.0,-3.326319197151184,11.671022748135918,-1.677577289580534,0.0,1.343516069563619,0
